word,count
dan,4047
yang,3272
di,2467
pada,1921
dengan,1239
tahun,1212
dalam,1185
ini,1109
untuk,923
oleh,858
ke,830
dari,785
sebagai,748
kepada,601
negara,540
telah,516
ialah,515
daripada,491
adalah,471
juga,439
atau,433
amerika,411
itu,401
tidak,400
kerajaan,395
merupakan,388
perang,387
syarikat,374
orang,364
menjadi,364
sebuah,348
mereka,347
bahasa,339
ia,331
dunia,323
satu,322
saint,302
lebih,294
korea,282
tentera,273
wilayah,273
utara,272
empayar,271
seperti,270
zaman,266
kanada,266
beliau,264
antara,261
pertama,258
besar,258
selepas,255
perancis,253
lain,251
jepun,251
british,249
abad,245
selatan,236
kawasan,236
barat,232
filem,231
sejarah,225
boleh,223
dua,223
eropah,221
timur,221
jerman,217
bagi,217
negeri,214
is,211
deprecated,208
secara,207
sehingga,202
semasa,197
kuasa,196
bandar,195
tetapi,192
banyak,190
rencana,189
mana,187
the,183
kedua,183
nama,182
mempunyai,180
tersebut,180
termasuk,175
serta,173
de,173
kota,173
beberapa,172
atas,170
raja,170
ahli,169
romania,166
masa,165
laut,165
bawah,159
tiga,158
china,157
of,156
inggeris,155
digunakan,151
dikenali,149
seorang,147
asia,144
paling,144
sama,143
la,143
kemudian,142
penduduk,142
india,141
baru,139
bahawa,136
kerana,135
hingga,135
utama,133
an,133
britain,129
pihak,129
tunas,128
apabila,128
bahagian,126
ekonomi,126
akhir,126
tanah,125
sejak,125
ketika,123
code,122
islam,122
itali,122
templat,121
awal,121
sebahagian,121
terbesar,120
iaitu,120
belanda,120
terletak,117
rom,117
goguryeo,117
bermula,116
undang,116
tengah,115
bersama,115
pulau,114
kurun,114
mula,112
bangsa,112
salah,112
sungai,112
pemerintahan,111
perpustakaan,111
membantu,110
kira,110
kebanyakan,109
hungary,108
ii,107
walaupun,107
lagi,106
para,106
cina,103
menggunakan,102
kini,102
juta,102
budaya,102
terdapat,102
tempat,102
silla,102
masjid,102
tempoh,101
akan,101
terhadap,101
melalui,101
sebelum,100
politik,100
sekitar,99
afrika,98
sepanyol,98
hari,97
hanya,97
kecil,97
perdagangan,97
seluruh,95
republik,95
pertempuran,95
malaysia,94
luar,94
dinasti,94
serangan,94
gereja,94
anda,93
buku,93
perjanjian,93
sur,91
kumpulan,90
wikipedia,90
new,90
pasukan,90
setiap,89
ada,88
pertengahan,86
lama,86
sultan,86
sistem,85
berjaya,85
kapal,85
semula,84
kesatuan,84
daerah,84
mengenai,83
namun,83
sm,83
soviet,83
rasmi,82
menerima,82
pusat,82
le,82
kali,81
semenanjung,81
selama,80
penting,80
membawa,80
rusia,80
setelah,79
baekje,79
mengembangkannya,78
united,78
agama,78
televisyen,77
antarabangsa,77
maharaja,77
ibu,76
jumlah,76
suatu,75
history,73
pelbagai,73
anak,73
batu,73
menyebabkan,73
berkembang,73
moden,72
al,72
kingdom,71
scotland,71
sendiri,71
tinggi,71
empat,71
kongres,71
fizik,70
arab,70
england,70
anugerah,69
bukan,69
terdiri,69
air,69
turut,68
masih,68
istilah,67
mencapai,67
muzik,67
yunani,67
ramai,67
merujuk,67
presiden,67
sangat,66
kemerdekaan,66
pertandingan,66
bagaimanapun,66
kura,66
parti,65
mesir,65
melayu,64
kemudiannya,64
hampir,64
persekutuan,64
lagu,63
akhirnya,63
pernah,63
berada,63
ireland,63
baginda,63
kerja,62
john,61
membentuk,61
semua,61
masyarakat,61
berlaku,61
buah,61
kuil,61
raya,60
bersatu,60
ditubuhkan,60
seni,60
sukan,59
rakyat,59
jajahan,59
memberi,59
waktu,59
pula,59
media,59
paus,59
terkenal,58
dapat,58
perkhidmatan,58
mei,58
terutamanya,58
biasanya,57
bentuk,57
hubungan,57
kembali,57
rancangan,56
memiliki,56
hadiah,56
terus,56
bukit,56
tibet,56
berkaitan,55
diri,55
hak,55
and,55
operasi,55
selain,55
berasal,55
koloni,55
sering,55
spesies,55
dia,54
lalu,54
mengambil,54
rumah,54
yahudi,54
sepanjang,53
sumber,53
nobel,53
diadakan,53
pantai,53
sebelumnya,52
tenggara,52
kanak,52
dianggap,52
masing,52
mendapat,52
awam,52
ketua,51
majlis,51
lelaki,51
kepulauan,51
bersekutu,51
st,50
gelaran,50
kematian,50
australia,49
diasaskan,49
berkenaan,49
dasar,49
bulan,49
as,48
bebas,48
angkatan,48
udara,48
kristian,48
les,48
en,48
sementara,48
wang,48
kurang,48
september,47
london,47
lima,47
dipanggil,47
keluarga,47
terakhir,47
sempadan,47
kemenangan,47
mungkin,47
era,47
pemerintah,47
tang,47
senyap,47
mac,46
sebanyak,46
universiti,46
april,46
berbeza,46
pentadbiran,46
peranan,46
ketenteraan,46
kebangsaan,46
menubuhkan,46
anjing,46
turki,46
usaha,45
menteri,45
membuat,45
terbang,45
sahaja,45
teknologi,45
benua,45
revolusi,45
kejatuhan,45
disebabkan,45
paksi,45
filipina,44
umum,44
in,44
tentang,44
baik,44
hidup,44
tv,44
wujud,44
disebut,44
membina,44
manakala,44
bahan,44
memenangi,43
wanita,43
agung,43
oktober,43
lautan,43
darat,43
jika,42
januari,42
tanpa,42
ketiga,42
bekas,42
diraja,42
mahkota,42
pertubuhan,42
res,42
jun,42
disember,42
james,42
ogos,42
khan,42
johor,42
bangunan,41
pendidikan,41
peperangan,41
karya,41
provinsi,41
katolik,41
menunjukkan,41
menguasai,41
putera,41
palestin,41
sains,40
sosial,40
menurut,40
pasifik,40
rantau,40
musim,40
bantuan,40
acara,40
penerbangan,40
video,39
peristiwa,39
november,39
industri,39
biasa,39
akademi,39
latin,39
du,39
tempatan,39
jenis,39
kempen,39
byzantine,39
iii,39
perdana,38
muncul,38
alam,38
teori,38
lapangan,38
sekarang,38
kalangan,38
sesetengah,38
menyertai,38
charles,38
kawalan,38
unit,38
atlantik,38
memberikan,38
mongol,38
walau,38
koleksi,38
merangkumi,37
luas,37
hasil,37
kesan,37
asas,37
pengaruh,37
manusia,37
berikutan,37
berbanding,37
tertinggi,37
golongan,37
saudara,37
pakaian,37
puak,37
agm,37
diterbitkan,36
berkhidmat,36
kekal,36
perkataan,36
langsung,36
kedudukan,36
portugal,36
teks,36
menyatakan,35
geografi,35
penggunaan,35
akta,35
et,35
sekali,35
mengikut,35
tanjong,35
kebudayaan,35
penaklukan,34
mengalami,34
siri,34
enam,34
berlangsung,34
gabungan,34
dibina,34
memerintah,34
menentang,34
jeneral,34
labi,34
peringkat,34
saluran,33
melihat,33
sir,33
permainan,33
asal,33
berubah,33
asing,33
bola,33
pegawai,33
pertanian,33
api,33
kadar,33
meningkat,33
menyerang,33
mosko,33
pembangunan,32
menjelang,32
kelas,32
perubatan,32
pesawat,32
liga,32
eurovision,32
perlembagaan,32
kaum,32
julai,32
tetap,32
borneo,32
semakin,32
airlines,32
bergantung,32
joseon,32
suhu,32
ayam,32
jackson,32
perubahan,31
pelakon,31
parsi,31
tapak,31
on,31
jawatan,31
dewan,31
berkuasa,31
dibuat,31
takhta,31
berdasarkan,31
muhammad,31
keadaan,31
tarikh,31
kong,30
begitu,30
cuba,30
kajian,30
akibat,30
sudah,30
purba,30
tuan,30
februari,30
quebec,30
mata,30
muslim,30
konflik,30
kuala,30
penyu,30
pejabat,30
brunei,30
austria,30
protestan,30
berakhir,30
warna,29
york,29
kehidupan,29
bidang,29
terlibat,29
tiada,29
sepak,29
diberikan,29
km,29
dinamakan,29
kertas,29
arah,29
tahunan,29
menghasilkan,29
genus,29
goryeo,29
sekutu,29
solat,29
berikutnya,28
tindakan,28
dahulu,28
hujan,28
hitam,28
struktur,28
cara,28
jalan,28
abu,28
singapura,28
sokongan,28
ref,28
khususnya,28
keseluruhan,28
menyaksikan,28
angkasa,28
tangan,28
masuk,28
menduduki,28
mediterranean,28
anggota,28
tujuh,28
hitler,28
parlimen,28
akhbar,28
asli,28
dibahagikan,28
alat,28
manchuria,28
gaya,28
north,28
zh,28
konsol,28
ciri,28
uthmaniyah,28
hong,27
zealand,27
permulaan,27
hal,27
penyelidikan,27
sebab,27
meliputi,27
indonesia,27
ralat,27
tag,27
bernama,27
khusus,27
daya,27
kimia,27
ditentukan,27
makanan,27
pertahanan,27
anti,27
poland,27
kuat,27
suku,27
tasik,27
perkembangan,26
penyatuan,26
diberi,26
rendah,26
kata,26
gerakan,26
separuh,26
ditemui,26
re,26
hamba,26
suci,26
komunis,26
perlawanan,26
perundangan,26
diperkenalkan,26
jauh,26
sejuk,26
tinggal,26
maklumat,25
panas,25
unsur,25
nazi,25
dipilih,25
arkeologi,25
badan,25
petik,25
references,25
koordinat,25
bersetuju,25
pribumi,25
pasaran,25
kereta,25
asalnya,25
kilometer,25
sejenis,25
berikut,25
menjadikan,25
balhae,25
israel,25
anglikan,25
penerbitan,24
web,24
tekanan,24
berterusan,24
menarik,24
tokoh,24
george,24
jawi,24
menyediakan,24
tradisi,24
putih,24
surat,24
individu,24
meskipun,24
jean,24
hilang,24
gunung,24
penjajahan,24
penubuhan,24
institusi,24
panjang,24
terutama,24
radio,24
persatuan,24
sweden,24
pencerobohan,24
memainkan,24
persegi,24
kelompok,24
garis,24
bakar,24
imam,24
mussolini,24
vietnam,24
berbahasa,23
menulis,23
edisi,23
bermaksud,23
catatan,23
sejarawan,23
kaedah,23
meluas,23
pelabuhan,23
satunya,23
des,23
ja,23
mengisytiharkan,23
apa,23
upacara,23
muda,23
agak,23
dilakukan,23
kuno,23
meninggal,23
komuniti,23
imej,23
maka,23
pemimpin,23
sedikit,23
robert,23
gojoseon,23
keturunan,23
merdeka,23
penonton,23
pendatang,23
penulis,22
memilih,22
astronomi,22
konsep,22
gambar,22
kelahiran,22
ms,22
ilmu,22
perkara,22
medan,22
edward,22
san,22
terbaik,22
tertua,22
mengawal,22
nota,22
mulanya,22
switzerland,22
kadang,22
membenarkan,22
melakukan,22
kekuasaan,22
jatuh,22
datang,22
artis,22
global,22
brazil,22
pemenang,22
gagal,22
kewangan,22
minoriti,22
berikat,22
amat,22
penuh,22
alih,22
istana,22
nilai,22
balas,22
bertujuan,22
mengalahkan,22
cukai,22
iv,22
mengekalkan,22
bukti,22
dikatakan,22
bina,22
perlu,22
peti,22
misi,22
genre,21
drama,21
konservatif,21
pilihan,21
jabatan,21
laman,21
popular,21
ruang,21
bertanggungjawab,21
diketahui,21
bertahan,21
perniagaan,21
segi,21
hindia,21
victoria,21
pesat,21
berhampiran,21
dilihat,21
tujuan,21
membuka,21
laluan,21
william,21
keempat,21
tambahan,21
kecuali,21
sekolah,21
mendirikan,21
telupid,21
pemberontakan,21
terawal,21
elektronik,21
askar,21
kelab,21
bendera,21
memegang,21
kategori,21
yugoslavia,21
kepausan,21
mahupun,21
purata,21
disiarkan,20
pakar,20
martin,20
siti,20
termasuklah,20
tertentu,20
rekod,20
ibn,20
melancarkan,20
rujukan,20
lakonan,20
sahara,20
bank,20
peraturan,20
pembinaan,20
mati,20
bergerak,20
rakaman,20
dijumpai,20
kesemua,20
buddha,20
kejohanan,20
belgium,20
bulgaria,20
piagam,20
mongolia,20
mempengaruhi,20
pakatan,20
pembaharuan,20
terpaksa,20
rangkaian,20
rata,20
kancah,20
leo,20
berlin,20
burung,20
pustakawan,20
diikuti,19
uk,19
matematik,19
berpengaruh,19
washington,19
sempena,19
dianugerahkan,19
album,19
penemuan,19
persembahan,19
etnik,19
dikawal,19
dilantik,19
paris,19
memperoleh,19
vi,19
paul,19
internet,19
program,19
kejayaan,19
masakan,19
seterusnya,19
rampasan,19
emas,19
majoriti,19
beraja,19
mendapatkan,19
ditawan,19
bekerja,19
sri,19
bunyi,19
bandaraya,19
keputusan,19
luxembourg,19
mahkamah,19
besi,19
hulu,19
sepenuhnya,19
bumi,19
pemburu,19
ng,19
dominion,19
senator,19
skor,19
dilancarkan,18
dikeluarkan,18
david,18
malam,18
mengasaskan,18
berasaskan,18
pengarah,18
objek,18
mencari,18
senarai,18
dokumentari,18
hiburan,18
mampu,18
berkongsi,18
abdul,18
masalah,18
dibentuk,18
ratu,18
dijadikan,18
sebilangan,18
dipakai,18
organisasi,18
membolehkan,18
memasuki,18
teknik,18
pendudukan,18
sah,18
aktiviti,18
mencipta,18
belas,18
bergabung,18
pengangkutan,18
kehilangan,18
sandakan,18
lembah,18
baka,18
fifa,18
merah,18
imperial,18
membangunkan,18
perikatan,18
kekalahan,18
samhan,18
buyeo,18
memulakan,18
status,18
romawi,18
komedi,18
napoleon,18
canada,18
versi,17
ko,17
kim,17
dibangunkan,17
senjata,17
isu,17
lihat,17
menolak,17
sewaktu,17
bintang,17
ar,17
keluaran,17
kesihatan,17
bilangan,17
percetakan,17
diketuai,17
sebelah,17
tebing,17
henry,17
bangsawan,17
diperintah,17
olimpik,17
berasingan,17
klasik,17
ch,17
cepat,17
kedaulatan,17
kepentingan,17
menyerahkan,17
tanjung,17
saham,17
persidangan,17
berpusat,17
digantikan,17
autonomi,17
dalaman,17
menara,17
saiz,17
wangsa,17
pemain,17
pertumbuhan,17
komanwel,17
kemajuan,17
buddhisme,17
penguasa,17
army,17
pupus,17
mamluk,17
massa,17
gurun,17
menyatukan,16
proses,16
saintifik,16
cambridge,16
didirikan,16
perjalanan,16
bertindak,16
michael,16
mewujudkan,16
los,16
angeles,16
navy,16
teluk,16
group,16
jadi,16
diterima,16
kesusasteraan,16
bois,16
sainte,16
my,16
baharu,16
lahir,16
jordan,16
ditambah,16
gabenor,16
kubu,16
demokrasi,16
khas,16
mengakibatkan,16
portugis,16
menandakan,16
langkah,16
kebangkitan,16
tenaga,16
norway,16
awalnya,16
dikalahkan,16
pembahagian,16
great,16
cukup,16
park,16
penempatan,16
diduduki,16
rakan,16
tanda,16
diambil,16
croatia,16
juara,16
sumitomo,16
diletakkan,16
ukraine,16
tembikar,16
menakluk,16
pengganti,16
besaran,16
konfederasi,16
penghormatan,16
melibatkan,16
berusaha,16
pantas,16
tradisional,16
pergerakan,16
kematiannya,16
menggantikan,16
saat,16
kiev,16
el,16
percaya,16
mgm,16
empayarnya,16
pentas,16
mendakwa,16
pbb,16
anatolia,16
airways,16
mh,16
channel,15
spesifik,15
peribadi,15
kompleks,15
for,15
ali,15
warisan,15
herodotus,15
unik,15
penduduknya,15
taman,15
penjajah,15
beralih,15
keluasan,15
mulai,15
loire,15
kerap,15
jawatankuasa,15
ditetapkan,15
sebarang,15
dirujuk,15
perempuan,15
dipercayai,15
jarak,15
dekad,15
perhatian,15
pengembangan,15
roosevelt,15
pendek,15
haiwan,15
menggabungkan,15
lapan,15
populasi,15
sarjana,15
gibraltar,15
selat,15
digulingkan,15
liberal,15
piala,15
titik,15
serbia,15
slovakia,15
wales,15
ditakrifkan,15
world,15
sebaliknya,15
pengeluaran,15
kaya,15
zon,15
city,15
terbunuh,15
sumbangan,15
pimpinan,15
columbia,15
demikian,15
pendapatan,15
landasan,15
digelar,15
mazhab,15
rim,15
minyak,15
senat,15
sektor,15
batang,15
selangor,15
uskup,15
kemboja,15
selalunya,14
gantikanlah,14
churchill,14
sehinggalah,14
mengandungi,14
data,14
saintis,14
memanggil,14
tiba,14
dihantar,14
melarikan,14
university,14
subjek,14
menerbitkan,14
diperlukan,14
ditulis,14
si,14
membunuh,14
terkini,14
buruh,14
tumbuhan,14
falsafah,14
seri,14
komun,14
georges,14
digital,14
dibuka,14
berusia,14
qing,14
ansur,14
sparta,14
greece,14
tahap,14
melahirkan,14
direka,14
layar,14
pendaratan,14
salib,14
puluh,14
jangka,14
kemudahan,14
kejadian,14
barisan,14
kod,14
kelajuan,14
adolf,14
hebat,14
mudah,14
sejumlah,14
campur,14
memaksa,14
memastikan,14
bilion,14
tersendiri,14
armenia,14
denmark,14
finland,14
terma,14
union,14
berperang,14
masihi,14
dominan,14
contohnya,14
menamatkan,14
yuan,14
memakai,14
usia,14
hutan,14
abc,14
petempatan,14
panglima,14
umat,14
semenjak,14
krisis,14
tokong,14
mqm,14
kustantiniyah,14
kuching,14
alberta,14
pengiran,14
shogun,14
keshogunan,14
dimiliki,13
topik,13
penyanyi,13
rock,13
tamat,13
kulit,13
pangkalan,13
kes,13
sambil,13
tema,13
kurangnya,13
sesuai,13
to,13
dijual,13
pengenalan,13
datuk,13
manis,13
no,13
penulisan,13
dicipta,13
rumi,13
per,13
pekan,13
divisyen,13
mengeluarkan,13
pengasas,13
pakistan,13
menyumbang,13
mesin,13
fisiologi,13
harus,13
memperkenalkan,13
baju,13
cahaya,13
meneruskan,13
penyerahan,13
kesultanan,13
penghujung,13
perwakilan,13
richard,13
bilik,13
perfileman,13
padang,13
penyakit,13
perlumbaan,13
mexico,13
berlainan,13
kaki,13
pergunungan,13
lainnya,13
terpenting,13
android,13
projek,13
lemah,13
moscow,13
belum,13
serupa,13
perbezaan,13
cyprus,13
moldova,13
terusan,13
ais,13
jualan,13
marathi,13
reka,13
mencadangkan,13
dokumen,13
samguk,13
jin,13
han,13
kita,13
pelarian,13
melantik,13
berjumlah,13
aspek,13
memusnahkan,13
tenteranya,13
contoh,13
meninggalkan,13
menakluki,13
menghantar,13
puteri,13
sedang,13
pembebasan,13
kalah,13
kebanyakannya,13
ribu,13
rakyatnya,13
meter,13
chin,13
pasir,13
iklim,13
yakni,13
bt,13
pemangku,13
tuntutan,13
sergius,13
louis,13
tuhan,13
perkahwinan,13
kemelesetan,13
iraq,13
merampas,13
berita,13
menerangkan,13
syria,13
jaya,13
mengikuti,13
aim,13
transylvania,13
kemuncak,13
kepelbagaian,13
philips,13
lumpur,13
seramai,13
perbatasan,13
skala,13
dapur,13
orleans,13
jefferson,13
spaniel,13
palaiologos,13
watch,13
ice,13
pitta,13
maswings,13
aktif,12
muzium,12
pengarang,12
cerita,12
teknikal,12
menggambarkan,12
sesuatu,12
model,12
penerbit,12
diarahkan,12
jam,12
eksekutif,12
suara,12
menghalang,12
komponen,12
dimulakan,12
faktor,12
cabang,12
oxford,12
diiktiraf,12
penguasaan,12
sana,12
karyanya,12
mengubah,12
biologi,12
ketara,12
diserahkan,12
musuh,12
menjalankan,12
arahan,12
demokratik,12
warga,12
beransur,12
elit,12
dibunuh,12
dikuasai,12
pop,12
menegaskan,12
mempertahankan,12
th,12
mengetuai,12
pelaburan,12
hotel,12
bekalan,12
philip,12
dibubarkan,12
lemak,12
company,12
corporation,12
tepat,12
azerbaijan,12
isyarat,12
sosialis,12
kepimpinan,12
kerjasama,12
skim,12
wabak,12
kebakaran,12
westminster,12
metropolitan,12
polis,12
tindak,12
perak,12
tersebar,12
berbagai,12
land,12
estonia,12
lambang,12
terbentuk,12
merosot,12
lewat,12
menyokong,12
berundur,12
pertukaran,12
sisa,12
maju,12
duanya,12
kegemilangan,12
penganut,12
kayu,12
buat,12
melaksanakan,12
teruk,12
hati,12
bersenjata,12
tokyo,12
menyerah,12
kepercayaan,12
genghis,12
rapat,12
ampas,12
pinggir,12
demi,12
menawan,12
polisi,12
cakera,12
penyiaran,12
stesen,12
optik,12
kehadiran,12
pintu,12
keperluan,12
nato,12
produk,12
miri,12
bulu,12
newfoundland,12
hab,12
cubaan,12
caribbean,12
sudan,12
digambarkan,12
commodus,12
muhyiddin,12
perisai,12
milimeter,12
houston,12
konstantinopolis,12
all,11
jenayah,11
usul,11
pita,11
singkat,11
mekanik,11
ingin,11
ulang,11
betul,11
arthur,11
bapa,11
lamanya,11
peradaban,11
setahun,11
profesional,11
ditadbir,11
menempatkan,11
layon,11
mauges,11
ze,11
laurent,11
francisco,11
peranti,11
menukar,11
rejim,11
prinsip,11
memindahkan,11
penasihat,11
dipimpin,11
sentiasa,11
umumnya,11
dilahirkan,11
rempah,11
ancaman,11
pembentukan,11
menyerap,11
kediaman,11
monarki,11
berpecah,11
rasminya,11
nascar,11
dikembangkan,11
memandangkan,11
utamanya,11
ideologi,11
kanan,11
prusia,11
komersil,11
melindungi,11
hakkul,11
mubin,11
samping,11
ataupun,11
kebebasan,11
bermain,11
konglomerat,11
bersejarah,11
membeli,11
biru,11
albania,11
lithuania,11
wilayahnya,11
menghadapi,11
kewujudan,11
fungsi,11
laporan,11
alexander,11
gangsa,11
dipengaruhi,11
tanaman,11
peningkatan,11
berpindah,11
mangkat,11
logam,11
iran,11
mengarahkan,11
mentadbir,11
serantau,11
pencapaian,11
aliran,11
mubaligh,11
komunikasi,11
menandatangani,11
pedagang,11
pembunuhan,11
aksi,11
dewa,11
pandangan,11
hill,11
plymouth,11
dengar,11
sepuluh,11
cuaca,11
kitab,11
xinjiang,11
perindustrian,11
sukar,11
dilengkapi,11
peserta,11
jajahannya,11
lokasi,11
setempat,11
kubah,11
uthmaniyyah,11
aqm,11
dacia,11
anggaran,11
bancian,11
tua,11
sarawak,11
penghargaan,11
benito,11
temenggong,11
hakhamaniyah,11
kapur,11
putnam,11
aristotle,11
babak,11
dahulunya,10
pemuzik,10
hangul,10
english,10
kabinet,10
kelima,10
keganasan,10
saya,10
sekurang,10
perasaan,10
dialog,10
semesta,10
segala,10
idea,10
rasa,10
kedai,10
nurhaliza,10
siaran,10
kampung,10
antaranya,10
profesor,10
simpanan,10
wakil,10
bersempadan,10
dipindahkan,10
berdaulat,10
jarang,10
malah,10
sebutan,10
br,10
anjou,10
andr,10
kerjanya,10
penyebaran,10
penciptaan,10
peratus,10
perlindungan,10
pakai,10
menentukan,10
bertulis,10
mewakili,10
penguin,10
maritim,10
pergi,10
menyelesaikan,10
kemungkinan,10
selanjutnya,10
aksara,10
elizabeth,10
hos,10
menuntut,10
kegunaan,10
perolehan,10
royal,10
grand,10
isle,10
thomas,10
tahanan,10
terselamat,10
kinabalu,10
gum,10
it,10
penerima,10
meletakkan,10
litar,10
nasional,10
dihasilkan,10
memerlukan,10
subkeluarga,10
hukum,10
berfungsi,10
meriam,10
shah,10
jelas,10
mengamalkan,10
diisytiharkan,10
menang,10
stadium,10
bunga,10
anaknya,10
mitsui,10
georgia,10
latvia,10
czech,10
man,10
naungan,10
single,10
mengatakan,10
berhijrah,10
tulisan,10
tunggal,10
berturut,10
terjadi,10
mahan,10
seoul,10
menjadikannya,10
diplomatik,10
muara,10
keamanan,10
terlalu,10
kublai,10
saling,10
stabil,10
dibenarkan,10
harga,10
ditandatangani,10
dimusnahkan,10
khabar,10
dibawa,10
nasionalis,10
liverpool,10
ciptaan,10
angin,10
by,10
elektrik,10
nuklear,10
berdekatan,10
merentasi,10
oscar,10
disampaikan,10
kegiatan,10
thailand,10
persaingan,10
kuasanya,10
mengadakan,10
nabi,10
rumit,10
pun,10
pekerjaan,10
panama,10
keselamatan,10
punca,10
bbc,10
hutang,10
ajaran,10
kerusi,10
pemilihan,10
douglas,10
bqm,10
memeluk,10
wallachia,10
agensi,10
beribu,10
penutur,10
suez,10
francis,10
barbarossa,10
supaya,10
lawrence,10
taraf,10
gula,10
bongsu,10
gun,10
minamoto,10
sega,10
artik,10
daging,10
falak,10
ontario,10
inc,9
episod,9
berharga,9
didapati,9
arkib,9
biografi,9
house,9
kelihatan,9
mahu,9
hawking,9
pengetahuan,9
blok,9
memaparkan,9
tan,9
menampilkan,9
disokong,9
legenda,9
menengah,9
sifat,9
penampilan,9
menjalani,9
terhad,9
penyertaan,9
penghijrahan,9
pinjaman,9
states,9
kakitangan,9
hindi,9
national,9
natural,9
mi,9
dikenal,9
chapelle,9
tr,9
pr,9
just,9
berpangkalan,9
california,9
indeks,9
ditangkap,9
diubah,9
diumumkan,9
menamakan,9
memutuskan,9
dianjurkan,9
setiausaha,9
kolonial,9
belakang,9
mengelakkan,9
penjelajahan,9
harapan,9
komersial,9
jiran,9
maghribi,9
perbankan,9
terkemuka,9
cermin,9
sabah,9
dingin,9
minuman,9
berbentuk,9
france,9
buruk,9
peringatan,9
datu,9
pertiga,9
wayang,9
pendapat,9
old,9
khidmat,9
kerabat,9
terdahulu,9
manchester,9
dataran,9
reformasi,9
hadapan,9
tembaga,9
meluluskan,9
disenaraikan,9
berwarna,9
bertentangan,9
kazakhstan,9
malta,9
slovenia,9
meningkatkan,9
setengah,9
mendominasi,9
perintah,9
kontroversi,9
kala,9
jalur,9
memenuhi,9
mencetuskan,9
ladang,9
menyebut,9
khalifah,9
dikenakan,9
swasta,9
mengakui,9
mengepung,9
meminta,9
mendorong,9
syarat,9
musnah,9
keluar,9
aman,9
il,9
mendadak,9
ketinggian,9
lintang,9
petang,9
seluar,9
ditolak,9
mengumumkan,9
sampai,9
nicolaus,9
bahkan,9
chagatai,9
agar,9
sebesar,9
peluasan,9
iklan,9
campuran,9
with,9
menggalakkan,9
ibrahim,9
fatih,9
tugas,9
pengikut,9
moldavia,9
rumania,9
puncak,9
damai,9
sadong,9
sari,9
christopher,9
cape,9
napol,9
joseph,9
vii,9
bisu,9
bendahara,9
bertukar,9
mandat,9
winstedt,9
khmer,9
tercetus,9
louisiana,9
pasti,9
barangan,9
constantine,9
